交易日期	收入	支出	账户余额	摘要	收支项目
20180108		4121		费用报销	费用
20180108		329.2		费用报销	费用
20180108		711		费用报销	费用
20180109		9569.03		个人所得税	个人所得税
20180110	20000			押金退回	其他收入
20180111		215856.84		蔬菜货款	采购成本
20180111		40440		支付采购大米货款	采购成本
20180112		10.5		网银结算手续费	费用
20180125		8922.2		工资及劳务费	工资及奖金
20180125		3795.3		工资及劳务费	工资及奖金
20180125		4200		工资及劳务费	工资及奖金
20180125		31578.9		工资及劳务费	工资及奖金
20180125		1807.5		费用报销	费用
20180125		264.9		费用报销	费用
20180129		28000		捐赠款	费用
20180131		135473.75		蔬菜货款	采购成本
20180201		10.5			费用
20180202		3304.8		费用报销	费用
20180205	28860.46			采购蔬菜费用	销售收入
20180205	15551.96			采购蔬菜费用	销售收入
20180206		8269.29			个人所得税
20180207		500000		入资款	对外投资
20180208		10.5			费用
20180209	587556.87			采购蔬菜费	销售收入
20180212		4955		工资	工资及奖金
20180212		4955		工资	工资及奖金
20180212		4955		工资	工资及奖金
20180212		164825.8		蔬菜采购货款及费用报销	采购成本
20180212		8666.67		费用报销	费用
20180212		1200		费用报销	费用
20180212		1200		费用报销	费用
20180212		3718.7		费用报销	费用
20180226		61285.25		工资及劳务费	工资及奖金
20180226		19101.48		工资及劳务费	工资及奖金
20180226		8563.9		工资及劳务费	工资及奖金
20180226		3353.6		工资及劳务费	工资及奖金
20180226	200000			退还购买股权款	往来
20180308		90000		执行会员费	费用
20180308		3505.07			个人所得税
20180309		7			费用
20180321	722.15				其他收入
20180322	400000			返还购买股权款	往来
20180322	250000			返还购买股权款	往来
20180326		14087.75		工资及劳务费	工资及奖金
20180326		8922.2		工资及劳务费	工资及奖金
20180326		4004.9		工资及劳务费	工资及奖金
20180326		3353.6		工资及劳务费	工资及奖金
20180326		7410		费用报销	费用
20180326		366.9		费用报销	费用
20180326		42477.2		费用报销	费用
20180328		1000000		入资款	对外投资
20180329		14			费用
20180329		2933		费用报销	费用
20180403		1000		小龙虾产业分会会费	费用
20180410		7075		个人借款	往来
20180416		9413.92			个人所得税
20180417		10000		代付费用	往来
